ID,gender,DOB,ethnicity,academic_info_id,county_id,family_details_id
174,female,8/4/1994,other,4562,2416,4003
175,male,22/5/1984,other,2095,3376,2150
176,female,5/8/1991,other,205,3774,3143
177,female,6/1/1992,Asian,1896,4447,224
178,male,13/12/1981,Asian,1835,374,770
179,male,16/8/1987,other,4737,2030,3543
180,male,25/5/1983,Asian,3448,4408,1955
181,female,22/3/1991,other,645,1632,4186
182,female,10/2/1985,other,1459,2880,524
183,female,21/12/1994,other,1124,1213,2578
184,male,14/3/1988,Asian,619,2367,839
185,female,2/6/1999,Asian,3411,4630,1867
186,male,9/4/1984,other,2075,1728,2553
187,male,12/6/1986,Asian,4673,4378,1891
188,female,27/10/1982,other,2500,3262,3619
189,female,2/7/1993,other,2475,3692,2971
190,male,22/9/1995,other,3122,1849,2033
191,female,20/5/1994,other,4681,3532,3808
192,male,11/12/1994,Asian,512,3574,3633
193,male,12/7/1990,afam,4213,1607,3504
194,female,26/10/1996,hispanic,2888,1033,849
195,male,6/5/1997,Asian,2542,419,346
196,female,23/7/1986,afam,815,3605,102
197,male,9/3/1990,other,1371,2589,2709
198,male,2/9/1981,afam,1093,1452,3160
199,male,5/1/1991,afam,1334,1463,4255
200,male,14/7/1983,hispanic,4175,1297,1687
201,male,11/2/1986,afam,3971,3327,3513
202,male,22/9/1980,afam,2817,820,4291
203,male,25/7/1999,afam,4699,239,1677
204,male,9/12/1985,Asian,4041,3494,3217
205,male,3/10/1990,other,4642,4662,843
206,female,5/7/1992,other,4661,1172,3470
207,female,9/2/1995,other,1669,3280,3019
208,female,27/8/1998,other,2850,2599,204
209,male,8/7/1992,afam,2914,4451,2608
210,male,22/8/1998,other,1164,1325,3636
211,female,28/8/1997,Asian,3869,3038,3058
212,male,14/6/1999,hispanic,2204,2009,2665
213,male,27/4/1996,afam,2746,4688,2303
214,female,17/5/1990,Asian,4269,3459,3941
215,female,20/3/1983,other,496,541,3804
216,female,9/8/1991,Asian,909,2453,4573
217,female,18/11/1981,other,849,3571,3913
218,female,6/1/1988,other,1634,4470,576
219,female,2/8/1984,hispanic,978,153,951
220,male,3/7/1989,other,3781,4174,623
221,female,13/4/1986,hispanic,2113,1837,1968
222,female,6/5/1997,other,3615,342,3274
223,male,8/11/1980,Asian,3016,3106,982
224,female,15/6/1993,Asian,3158,1392,822
225,female,12/9/1992,other,4121,55,456
226,female,11/6/1996,Asian,222,3061,1060
227,female,2/5/1982,other,1225,2982,913
228,male,19/10/1981,other,491,874,2301
229,male,7/6/1982,afam,3023,3546,2947
230,female,2/12/1987,hispanic,408,1920,3049
231,female,26/12/1992,afam,972,884,4309
232,male,17/10/1982,afam,3467,1658,3470
233,female,7/9/1998,other,3904,4002,971
234,female,25/10/1997,Asian,1417,2480,4008
235,male,4/1/1999,Asian,1380,1643,1744
236,female,17/8/1982,other,794,2155,4324
237,female,27/5/1980,Asian,2598,4016,1308
238,female,15/3/1990,other,757,2929,3424
239,male,27/12/1981,other,4057,423,3607
240,male,15/7/1980,other,1941,3934,2317
241,female,25/9/1992,other,4075,3934,3903
242,female,27/12/1991,Asian,3723,80,3288
243,male,2/2/1987,Asian,671,3079,448
244,male,19/10/1995,other,1097,4396,298
245,female,3/9/1982,Asian,4651,1013,1778
246,male,27/11/1985,other,1653,2788,756
247,male,26/3/1994,other,773,1290,3390
248,male,27/11/1989,other,3177,4229,1100
249,male,18/5/1990,afam,2830,3915,1325
250,female,16/5/1983,other,941,369,3057
251,female,10/12/1994,Asian,2492,4675,4006
252,female,22/11/1999,Asian,1860,515,369
253,female,12/1/1994,other,336,2135,2156
254,female,12/9/1997,Asian,451,1368,4381
255,male,23/4/1989,other,3739,1135,2672
256,male,15/9/1982,other,1470,1170,892
257,female,23/3/1985,Asian,3940,1264,846
258,male,14/10/1994,Asian,4199,3047,332
259,male,17/4/1998,other,3755,2324,2014
260,female,8/7/1989,Asian,1593,1403,1219
261,female,27/8/1988,other,3220,1302,3839
262,male,17/7/1992,other,1367,2957,1006
263,male,22/1/1994,other,3917,1004,176
264,male,14/12/1989,other,2692,1402,312
265,male,18/5/1982,afam,2066,4699,2681
266,female,3/8/1988,Asian,846,1679,3621
267,male,20/5/1993,Asian,3076,399,2305
268,male,3/12/1982,other,2451,23,450
269,male,12/1/1984,Asian,854,2208,2799
270,female,12/8/1994,other,4436,438,51
271,male,18/3/1986,other,584,2636,2088
272,female,27/2/1993,other,1011,2549,499
273,female,20/4/1985,Asian,1451,4377,2890
274,male,25/6/1998,Asian,4476,3552,1205
275,female,11/5/1984,other,3319,1717,666
276,female,2/12/1997,Asian,729,373,3644
277,male,12/2/1999,other,3599,775,1826
278,male,15/12/1998,afam,1438,2936,722
279,female,19/5/1987,other,225,134,1179
280,female,22/2/1993,other,460,696,3982
281,female,7/4/1991,other,571,764,244
282,female,26/3/1984,Asian,827,1847,2390
283,male,10/3/1985,Asian,4134,4174,3355
284,male,19/5/1990,other,3057,2484,1959
285,female,26/11/1987,Asian,3021,980,743
286,male,6/3/1991,other,4528,773,2313
287,male,23/2/1989,other,1928,2746,1613
288,male,12/5/1982,hispanic,1917,4187,2499
289,female,23/4/1994,other,4419,1422,4279
290,female,10/7/1986,hispanic,3067,3093,1343
291,male,23/7/1998,other,279,3476,4333
292,male,9/1/1990,other,1320,1678,3589
293,female,28/1/1987,Asian,4038,2172,3025
294,male,22/7/1986,Asian,1760,4440,387
295,female,13/6/1993,other,2222,3483,3755
296,male,24/1/1983,Asian,445,3567,2139
297,male,26/4/1990,other,4117,262,641
298,male,18/7/1991,other,4619,759,3418
299,male,23/12/1998,other,2711,2581,387
300,male,23/6/1998,afam,1607,4607,4560
301,male,14/4/1996,other,2364,1425,2662
302,female,23/9/1985,afam,285,1649,2696
303,male,14/12/1994,afam,1414,3772,1974
304,female,13/7/1985,Asian,1260,302,2675
305,male,22/5/1984,Asian,2124,2343,1642
306,male,2/5/1997,other,2757,310,3879
307,male,12/9/1999,Asian,1084,1213,534
308,female,18/4/1991,other,4650,4205,3499
309,female,17/9/1982,other,2714,3549,1532
310,male,6/6/1996,other,1664,3,345
311,female,9/9/1999,Asian,4090,1743,2165
312,male,14/5/1986,Asian,2109,3817,780
313,male,18/1/1998,other,1394,2142,3052
314,female,25/3/1981,Asian,1970,3176,4412
315,male,6/7/1999,other,730,1595,1528
316,female,7/3/1990,other,2285,3749,351
317,male,27/7/1986,afam,3816,4130,4522
318,male,24/12/1983,other,1369,1704,1535
319,female,19/9/1992,other,2926,4604,614
320,male,20/10/1983,Asian,77,2357,2702
321,female,16/1/1992,afam,1223,4461,1096
322,female,4/10/1997,afam,2097,456,2357
323,female,12/2/1996,afam,2999,1396,1975
324,male,8/9/1989,afam,3477,1336,751
325,male,2/3/1995,afam,676,2175,2416
326,female,16/12/1987,afam,1432,4370,4159
327,female,28/6/1990,afam,2467,3505,4394
328,male,27/11/1995,Asian,1440,4377,4736
329,female,3/4/1998,hispanic,1071,2978,2074
330,female,23/10/2000,other,1061,4665,2521
331,female,5/4/1998,Asian,2829,2951,799
332,female,28/9/1999,other,434,3678,1574
333,male,4/2/1981,other,3597,626,1122
334,female,25/7/1981,other,2748,4727,2712
335,female,13/11/1995,other,3299,2144,4107
336,male,24/11/1993,Asian,141,1958,527
337,female,22/10/1987,Asian,587,3247,851
338,female,6/11/1995,other,625,2082,3075
339,female,14/11/1998,afam,2708,2608,2798
340,male,18/7/2000,afam,4459,1822,678
341,female,16/9/1985,other,3546,1576,647
342,male,21/9/1999,other,1536,2086,2964
343,female,13/8/1995,Asian,898,1975,484
344,female,13/9/1986,Asian,666,2725,4322
345,male,23/5/1981,other,4240,2792,430
346,female,2/1/1983,Asian,4736,3322,3031
347,female,16/12/1982,other,806,1122,3126
348,male,15/11/1987,other,2811,3766,4010
349,male,22/4/1996,other,4220,4196,3719
350,male,2/10/1995,other,1460,4427,47
351,male,28/6/1984,hispanic,2522,4467,2766
352,female,15/7/1980,Asian,1140,3071,4693
353,male,28/5/1998,Asian,2211,3251,3834
354,female,18/4/1992,other,1209,1209,4136
355,male,13/6/1988,Asian,2211,1339,4217
356,female,28/6/2000,other,1797,2099,4370
357,female,22/3/1987,other,654,365,2473
358,female,16/10/1985,other,1975,3213,32
359,male,22/11/1996,Asian,315,1990,3235
360,male,14/12/2000,Asian,578,4156,1328
361,male,8/6/1993,other,4636,2744,759
362,female,14/12/1982,Asian,4017,1732,164
363,male,5/4/1991,other,3916,3254,1452
364,male,12/8/1998,other,234,2413,2144
365,male,9/6/1985,other,3373,2071,1780
366,female,1/8/1998,other,432,2686,364
367,female,16/7/1991,Asian,1146,1194,4569
368,female,8/2/1988,Asian,598,2721,3874
369,female,19/6/1983,hispanic,3720,3149,1070
370,male,23/12/1998,other,2411,1150,4652
371,male,4/8/1982,Asian,145,2984,2938
372,male,10/12/1986,other,3998,2471,2038
373,male,28/10/1986,other,4542,3170,1579
374,male,26/2/1993,other,4066,1031,2123
375,male,6/1/1986,other,1596,691,2504
376,male,28/10/1997,Asian,1550,3676,894
377,female,8/9/1984,Asian,64,1801,2522
378,male,28/10/1980,other,722,1549,3427
379,female,4/4/1998,Asian,3662,3375,3109
380,female,27/4/1989,other,4020,2869,1608
381,male,13/8/1998,other,1697,1978,3891
382,female,21/4/1999,Asian,1733,2077,292
383,male,14/6/1982,Asian,1488,2451,2840
384,male,20/5/1988,other,3673,3108,3007
385,female,28/7/1995,Asian,3241,4635,4038
386,female,3/5/1990,other,2212,1918,3817
387,male,8/2/1982,other,4085,2493,1583
388,female,8/7/2000,other,2365,3149,2766
389,male,9/4/1999,other,1554,3874,2420
390,female,16/6/1992,Asian,2860,4681,3659
391,female,13/8/1986,afam,3636,56,1352
392,female,22/9/1982,afam,1372,496,70
393,male,28/6/1980,Asian,3176,4245,1673
394,female,20/11/1995,afam,4714,2533,2904
395,female,1/1/1993,afam,3388,3261,3568
396,female,25/9/1998,afam,1639,108,2843
397,female,1/12/1980,other,3408,65,3833
398,male,21/1/1989,hispanic,1105,3419,4480
399,male,5/11/2000,Asian,782,1878,3258
400,male,2/2/1984,other,2538,637,416
401,male,12/10/1989,other,86,164,401
402,male,15/6/1984,other,1219,7,1711
403,male,15/9/1991,afam,4574,3397,848
404,female,24/3/1999,Asian,2093,1516,3473
405,male,14/2/1984,afam,702,433,3082
406,female,25/5/1980,hispanic,963,2242,4026
407,male,2/6/1984,Asian,4022,1539,3706
408,male,10/12/1997,other,1790,102,3868
409,male,7/12/1999,afam,1842,2455,193
410,female,17/1/1998,Asian,3398,3679,3784
411,female,11/7/1986,other,1318,1783,4700
412,male,14/6/1986,other,4589,3270,993
413,female,21/4/1999,other,2644,539,2142
414,female,10/2/1999,other,357,1286,2290
415,female,25/11/1997,Asian,2342,3478,3565
416,male,16/3/1983,Asian,3534,1628,3097
417,female,27/9/1980,afam,3077,3513,1350
418,male,14/3/2000,afam,3019,941,4188
419,female,17/11/1993,afam,3301,1762,4187
420,male,26/8/1988,afam,4573,2426,3744
421,female,20/12/1996,afam,3107,960,1630
422,female,20/11/1999,afam,3503,3480,3489
423,male,7/12/1997,other,4689,4124,3295
424,male,27/12/1984,Asian,2379,1541,86
425,male,27/4/1998,afam,4170,3707,4168
426,female,22/12/1990,other,618,4074,4573
427,male,5/8/1993,other,497,2480,4111
428,female,4/10/1992,Asian,1273,1252,4404
429,male,19/6/1983,Asian,557,4064,201
430,female,9/1/1988,other,2074,3528,117
431,female,19/12/1994,Asian,4458,960,4174
432,male,27/7/1992,other,226,713,1960
433,female,6/12/1984,other,1493,2310,2855
434,male,27/2/1983,other,4540,4290,1054
435,male,9/4/1986,other,3025,3767,4232
436,female,8/11/1999,Asian,162,1284,2524
437,female,13/7/1985,Asian,3364,4513,4614
438,male,25/7/1982,other,1341,3548,3791
439,male,19/12/1980,Asian,1229,3443,4670
440,male,16/1/1990,hispanic,3116,713,4270
441,male,2/12/1990,other,4691,3807,3297
442,male,15/7/1990,other,4110,1101,1900
443,female,24/3/1987,hispanic,600,3838,563
444,male,3/3/1996,other,2100,1770,3006
445,male,1/10/1996,hispanic,3396,478,2441
446,male,10/4/1993,Asian,3246,1339,2704
447,female,4/8/1996,Asian,2560,1953,4651
448,female,17/10/1986,other,3702,143,4176
449,female,9/11/1994,Asian,531,773,609
450,female,22/10/2000,other,2515,1434,463
451,male,26/11/1982,afam,4241,3472,695
452,male,26/7/1992,afam,2217,3859,2768
453,female,1/8/1987,afam,1519,1592,2211
454,female,23/4/1995,afam,1761,2679,1591
455,female,16/4/1993,afam,878,3788,2852
456,female,20/7/1993,other,3778,2566,1854
457,male,5/5/1985,other,2020,9,551
458,female,11/11/1982,other,1793,2580,596
459,male,26/12/1980,Asian,2431,3045,3625
460,male,21/10/1999,Asian,3802,4096,2705
461,male,25/4/1997,other,3946,1365,547
462,female,1/10/1998,Asian,4379,1254,2709
463,female,7/1/1998,other,2289,4720,2662
464,male,12/11/1990,other,4558,1255,1793
465,male,14/1/1997,other,440,3378,4189
466,female,16/12/1985,hispanic,4171,2683,3431
467,female,14/10/1985,other,1505,3699,6
468,female,21/5/1983,Asian,1538,4664,2695
469,female,2/2/1982,Asian,4324,1469,2393
470,female,2/6/1993,other,19,3682,801
471,male,3/9/1993,other,459,2754,4537
472,female,21/8/1997,other,2544,1924,3080
473,male,18/3/1993,Asian,4025,2897,4308
474,female,8/9/1985,Asian,352,3100,2992
475,female,8/3/1989,afam,3768,1412,2558
476,female,7/11/1980,afam,3321,2613,165
477,female,16/8/1991,hispanic,829,1116,3683
478,male,24/2/1984,afam,3308,2957,4558
479,female,27/3/1980,afam,3189,796,2483
480,female,16/12/1997,afam,1606,3669,2199
481,male,16/11/1994,hispanic,2251,3435,650
482,female,15/12/1991,other,1882,1315,1399
483,male,6/4/1985,Asian,727,1827,3780
484,female,25/3/1992,other,4736,2072,4467
485,female,1/7/1987,other,3931,3393,3286
486,male,20/3/1994,other,3109,3832,3537
487,male,20/1/1987,other,2477,2991,3184
488,female,4/6/1983,Asian,916,1637,4568
489,female,3/10/1995,Asian,3915,2241,4285
490,male,27/9/1982,other,526,2712,3486
491,female,16/7/1999,Asian,3158,4319,1031
492,female,10/8/1990,other,2004,4613,4645
493,female,9/11/1988,other,1154,1537,3343
494,male,11/8/1994,other,4492,1104,4414
495,male,1/11/1993,hispanic,2780,1191,2288
496,female,14/9/2000,Asian,176,354,4325
497,male,24/1/1989,afam,4571,2630,2633
498,female,1/6/1984,afam,4191,133,3941
499,female,24/1/1981,Asian,2946,4490,2714
500,female,16/7/1983,afam,2491,418,4
501,female,12/1/1993,other,2731,4114,867
502,male,22/7/1998,Asian,3866,2474,1024
503,female,4/12/1996,other,655,1327,410
504,male,13/12/1995,other,3096,4109,2076
505,female,16/10/2000,other,694,2908,4739
506,female,28/2/1986,other,1524,4024,239
507,female,7/9/1981,afam,4537,3858,1591
508,female,26/3/2000,Asian,2494,3084,238
509,female,2/4/1984,Asian,4162,2867,3158
510,female,20/7/1995,other,3536,4042,4451
511,male,15/1/1980,afam,4426,3232,472
512,female,21/10/1983,Asian,1325,4106,3520
513,male,12/12/1997,afam,3278,2302,3258
514,male,26/10/1981,other,2356,3384,4228
515,male,17/2/1999,other,4331,2457,1971
516,male,22/4/1980,other,2765,1462,2656
517,female,1/11/1994,afam,1415,1415,1200
518,female,10/6/1984,afam,2552,3018,4719
519,female,27/11/1984,other,3622,261,219
520,female,25/10/1993,afam,2729,2243,4675
521,male,5/10/1994,Asian,20,532,3543
522,female,13/9/1995,afam,3746,4283,2664
523,male,14/10/1998,afam,1367,3412,3838
524,male,10/1/1981,afam,672,1654,2541
525,male,20/7/1988,afam,1404,1471,2303
526,female,24/1/1993,Asian,1409,717,2190
527,male,15/12/1985,other,2934,4661,4453
528,female,18/4/1983,Asian,3282,3557,3785
529,male,15/12/1997,other,1234,1993,1317
530,male,21/10/2000,other,2735,115,3079
531,female,11/11/1984,other,574,2836,4600
532,female,10/12/1990,Asian,3399,1792,3882
533,male,2/11/1992,Asian,5,778,1661
534,female,26/12/1996,other,2464,2222,1559
535,male,3/9/1996,Asian,4338,1563,2145
536,female,19/7/1985,other,2013,614,601
537,female,3/5/2000,other,2559,3540,97
538,female,28/4/1987,other,2714,3758,3910
539,female,1/5/1998,other,4245,1213,4479
540,female,23/10/1997,Asian,3463,3998,3608
541,female,16/5/1983,Asian,548,1326,1200
542,female,19/6/1983,other,3367,1349,4654
543,male,15/3/1993,Asian,2383,1019,1637
544,male,13/11/1993,other,3284,2719,1801
545,male,8/2/1988,other,1949,2909,4335
546,female,22/3/1995,other,4183,2920,3927
547,female,24/3/1995,Asian,2780,2509,2743
548,female,23/1/1995,Asian,1220,3278,4212
549,male,27/12/1983,other,23,3849,395
550,female,13/6/1983,Asian,905,2289,1560
551,female,25/2/1989,other,1892,3299,409
552,female,10/5/1998,afam,3960,2902,345
553,male,14/8/1999,other,1180,4413,1254
554,female,11/1/1983,other,280,4374,1278
555,female,18/12/1998,other,641,1632,1616
556,female,14/11/1985,Asian,3789,3280,1848
557,male,13/4/1981,Asian,4120,3756,3471
558,male,16/10/1982,other,189,2601,3381
559,male,3/7/1982,Asian,2200,1853,3942
560,female,25/2/1983,afam,2166,4281,2015
561,female,20/10/1999,other,3779,4432,2409
562,male,16/10/1989,other,3378,2309,30
563,male,1/8/1987,hispanic,876,4682,2705
564,male,22/3/1984,other,2143,1030,2400
565,male,16/6/1996,other,673,36,3199
566,male,15/1/1988,Asian,1564,779,63
567,male,20/1/1993,afam,2220,2640,942
568,male,15/2/1980,Asian,3850,1117,2988
569,female,15/10/1990,other,3559,2052,3935
570,female,4/8/1982,hispanic,2297,956,582
571,female,18/10/1991,Asian,765,4409,907
572,male,15/2/1983,other,333,2404,776
573,female,8/7/1985,other,2407,1483,2283
574,male,23/3/1988,other,449,2818,2687
575,female,7/7/1994,other,1257,1778,2370
576,male,1/4/1987,Asian,4609,621,3517
577,female,26/5/1985,Asian,1771,802,481
578,female,25/9/1997,other,2013,163,3687
579,male,11/5/1984,Asian,118,349,950
580,male,24/3/1986,other,1439,3370,1988
581,male,19/4/1983,afam,894,1513,1768
582,male,4/7/2000,other,3298,3340,3898
583,male,22/7/1997,afam,99,2110,1766
584,male,15/6/1994,afam,1219,2161,1859
585,male,1/6/1991,afam,2004,1800,4207
586,male,23/5/1998,afam,384,631,2090
587,female,3/3/1996,other,1334,2639,2268
588,female,28/10/1991,afam,2890,1114,2667
589,female,6/4/1986,other,1836,3052,847
590,male,15/1/1997,Asian,2466,3367,4041
591,male,24/8/1992,Asian,3382,3534,4601
592,female,7/2/1996,afam,3177,3335,3758
593,male,20/2/1988,other,4265,4032,2435
594,male,21/12/1999,Asian,4019,1455,1350
595,male,20/2/1997,afam,383,2352,3432
596,female,10/12/1999,other,2904,876,4493
597,male,21/11/1984,other,175,796,1498
598,female,23/10/1992,other,856,29,626
599,male,4/12/1984,Asian,1669,2660,728
600,female,21/5/1999,hispanic,1576,4057,3479
601,female,23/6/1998,hispanic,1879,230,2002
602,male,22/10/1996,Asian,1780,1670,3594
603,male,3/4/1994,other,2306,1370,2663
604,male,13/2/1996,Asian,1966,4442,4229
605,male,25/10/1993,other,1179,4701,3090
606,female,11/4/1982,other,3063,3181,1046
607,male,4/1/1988,other,2981,634,1604
608,male,20/8/2000,other,670,4672,2501
609,male,8/6/1981,Asian,264,641,1494
610,female,23/8/1980,Asian,432,4503,2866
611,male,7/3/1980,other,1174,1712,589
612,female,15/4/1986,Asian,3463,598,1052
613,male,16/10/1987,other,494,150,1694
614,male,8/12/1998,other,4646,2369,1175
615,male,19/1/1994,other,4541,177,4504
616,male,20/6/1986,other,735,44,532
617,female,14/11/2000,Asian,1981,4460,3859
618,male,24/5/1990,Asian,628,489,4013
619,female,9/2/1995,other,3113,2300,3134
620,female,23/11/1993,Asian,4520,2735,1403
621,male,20/7/1984,other,3244,2093,583
622,male,27/11/1981,other,2877,3098,1617
623,female,23/1/1984,other,516,2536,3040
624,female,13/11/2000,other,2050,1180,3644
