id,fcollege,mcollege,home,urban,income
3607,no,no,yes,no,low
2317,no,no,yes,no,low
3903,no,no,yes,no,high
3288,no,no,yes,no,low
448,no,no,yes,no,low
298,no,no,yes,no,low
1778,no,no,yes,no,low
756,no,no,yes,no,low
3390,yes,no,yes,no,low
1100,yes,no,yes,no,high
1325,no,no,yes,no,low
3057,no,no,yes,no,low
4006,yes,yes,yes,no,high
369,no,no,yes,no,low
2156,yes,yes,yes,no,high
4381,no,no,yes,no,low
2672,no,no,yes,no,low
892,no,no,yes,no,low
846,no,no,yes,no,low
332,no,no,yes,no,high
2014,no,yes,yes,no,low
1219,no,no,yes,no,low
3839,no,no,yes,no,low
1006,yes,yes,yes,no,high
176,no,no,yes,no,low
312,no,no,yes,no,low
2681,yes,no,yes,no,low
3621,no,yes,yes,no,high
2305,no,no,yes,no,low
450,no,no,yes,no,low
2799,yes,yes,yes,no,high
51,no,no,no,no,low
2088,yes,yes,yes,no,low
499,yes,yes,yes,no,high
2890,no,no,yes,no,high
1205,no,no,yes,no,low
666,yes,yes,yes,no,high
3644,no,yes,yes,no,high
1826,yes,yes,yes,no,low
722,no,no,no,no,low
1179,no,no,yes,no,low
3982,no,no,yes,no,high
244,no,no,yes,no,high
2390,no,no,yes,no,low
3355,no,no,yes,no,high
1959,no,no,yes,no,low
743,no,no,yes,no,low
2313,no,no,yes,no,high
1613,yes,yes,yes,no,high
2499,no,no,yes,no,low
4279,no,yes,yes,no,low
1343,no,no,yes,no,low
4333,no,no,yes,no,low
3589,no,no,yes,no,low
3025,no,no,yes,no,low
387,no,no,yes,no,low
3755,no,no,yes,no,low
2139,yes,no,no,no,high
641,yes,yes,yes,no,high
3418,yes,yes,yes,no,high
387,yes,yes,yes,no,low
4560,yes,yes,yes,no,high
2662,yes,no,yes,no,high
2696,yes,no,yes,no,high
1974,no,no,no,no,high
2675,yes,no,no,no,high
1642,no,no,yes,no,low
3879,no,no,no,no,low
534,yes,no,yes,no,high
3499,no,no,yes,no,low
1532,no,no,yes,no,low
345,no,no,no,no,low
2165,no,no,yes,no,low
780,no,no,yes,no,low
3052,yes,yes,yes,no,low
4412,no,no,no,no,low
1528,yes,yes,yes,no,high
351,no,no,yes,no,high
4522,no,no,yes,no,low
1535,yes,no,yes,no,low
614,no,no,yes,no,low
2702,yes,yes,yes,no,low
1096,no,no,yes,no,low
2357,no,no,yes,no,high
1975,yes,no,no,no,high
751,no,no,yes,no,high
2416,yes,no,yes,no,low
4159,no,no,yes,no,low
4394,no,no,no,yes,low
4736,yes,yes,yes,yes,high
2074,no,no,no,yes,low
2521,yes,no,yes,yes,low
799,no,no,yes,no,low
1574,no,no,yes,no,low
1122,no,no,no,no,low
2712,no,no,yes,no,low
4107,no,no,yes,no,low
527,no,no,no,no,low
851,no,no,yes,no,low
3075,yes,yes,yes,no,low
2798,no,no,no,yes,low
678,no,no,no,yes,low
647,no,no,no,yes,low
2964,no,no,no,yes,high
484,no,no,yes,yes,low
4322,no,no,yes,no,low
430,no,no,yes,no,low
3031,no,no,no,no,low
3126,no,no,yes,no,low
4010,yes,yes,yes,no,high
3719,yes,no,yes,no,high
47,no,no,yes,no,low
2766,no,no,yes,no,low
4693,no,no,yes,no,low
3834,no,no,yes,no,high
4136,no,no,yes,no,low
4217,no,no,yes,no,low
4370,no,no,yes,no,low
2473,no,yes,no,no,low
32,no,no,yes,no,high
3235,yes,no,yes,no,high
1328,no,no,yes,no,high
759,no,no,no,no,low
164,no,no,yes,no,low
1452,no,no,yes,no,low
2144,yes,no,no,no,low
1780,no,no,yes,no,high
364,no,no,yes,no,low
4569,no,no,yes,no,high
3874,yes,no,yes,no,high
1070,no,no,yes,no,low
4652,yes,no,yes,no,high
2938,no,no,yes,no,high
2038,yes,yes,yes,no,high
1579,no,no,yes,no,low
2123,yes,yes,yes,no,high
2504,yes,no,yes,no,high
894,no,no,yes,no,high
2522,yes,no,no,no,low
3427,yes,no,yes,no,high
3109,no,no,yes,no,low
1608,yes,yes,yes,no,high
3891,yes,no,yes,no,high
292,no,no,yes,no,low
2840,yes,no,yes,no,low
3007,no,no,yes,no,high
4038,no,no,yes,no,low
3817,no,no,yes,no,low
1583,no,no,yes,no,low
2766,no,no,yes,yes,low
2420,yes,no,no,yes,low
3659,no,no,yes,yes,low
1352,no,no,yes,yes,low
70,yes,no,no,yes,low
1673,no,no,yes,yes,high
2904,no,no,no,yes,low
3568,no,no,yes,yes,low
2843,no,no,no,yes,low
3833,no,no,yes,no,low
4480,no,no,yes,no,low
3258,yes,yes,yes,no,high
416,yes,yes,no,no,high
401,yes,yes,yes,no,high
1711,no,yes,yes,no,high
848,yes,yes,yes,no,high
3473,no,no,yes,no,low
3082,no,no,no,no,low
4026,no,no,no,no,low
3706,yes,no,yes,no,high
3868,no,no,yes,no,high
193,no,yes,yes,no,high
3784,no,no,yes,no,low
4700,no,no,yes,no,low
993,no,no,yes,no,low
2142,no,no,no,no,high
2290,no,yes,yes,no,low
3565,no,no,no,no,low
3097,no,no,yes,no,low
1350,no,no,yes,yes,low
4188,no,no,no,yes,low
4187,no,no,no,yes,low
3744,no,no,yes,yes,low
1630,no,no,yes,yes,low
3489,no,no,no,no,low
3295,no,no,yes,no,high
86,no,no,yes,no,low
4168,no,no,yes,no,low
4573,no,no,yes,no,high
4111,no,no,no,no,low
4404,no,no,no,no,high
201,no,yes,yes,no,high
117,no,no,yes,no,low
4174,yes,no,yes,no,low
1960,yes,yes,yes,no,high
2855,yes,yes,yes,no,high
1054,yes,yes,yes,no,low
4232,yes,yes,no,no,high
2524,yes,yes,yes,no,high
4614,no,no,yes,no,low
3791,no,no,no,no,high
4670,no,no,yes,no,low
4270,no,no,yes,no,low
3297,no,no,no,no,low
1900,no,no,yes,no,high
563,no,no,yes,no,low
3006,no,no,yes,no,low
2441,no,no,yes,no,high
2704,no,no,no,no,low
4651,no,no,yes,no,low
4176,no,no,yes,no,low
609,yes,no,yes,no,low
463,no,no,yes,no,low
695,no,no,no,no,high
2768,yes,yes,yes,no,high
2211,no,no,yes,no,low
1591,no,no,yes,no,low
2852,yes,yes,yes,no,low
1854,no,no,no,no,high
551,yes,yes,yes,no,high
596,yes,no,no,no,high
3625,yes,no,yes,no,high
2705,no,no,yes,no,low
547,no,no,no,no,low
2709,no,no,yes,no,high
2662,no,yes,yes,no,high
1793,no,yes,yes,no,high
4189,yes,yes,no,no,low
3431,yes,no,no,no,high
6,yes,yes,no,no,high
2695,no,yes,yes,no,high
2393,no,no,no,no,high
801,yes,yes,yes,no,high
4537,yes,yes,yes,no,high
3080,yes,no,yes,no,high
4308,yes,no,yes,no,high
2992,yes,yes,yes,no,high
2558,no,no,yes,yes,low
165,no,no,no,yes,low
3683,no,no,no,yes,low
4558,no,no,yes,yes,low
2483,no,no,yes,yes,low
2199,no,no,yes,yes,high
650,yes,no,no,no,low
1399,yes,no,no,no,high
3780,yes,no,yes,no,high
4467,no,no,yes,no,low
3286,no,no,yes,no,low
3537,yes,yes,yes,no,low
3184,no,no,yes,no,high
4568,yes,yes,yes,no,high
4285,no,no,yes,no,high
3486,no,no,yes,no,low
1031,no,no,yes,no,low
4645,no,no,yes,no,high
3343,no,no,yes,no,high
4414,no,no,yes,no,low
2288,no,no,yes,no,low
4325,no,no,yes,no,low
2633,no,no,no,no,high
3941,yes,no,no,no,high
2714,no,no,yes,no,low
4,no,no,yes,no,low
867,no,no,yes,no,high
1024,yes,no,yes,no,high
410,no,yes,no,no,low
2076,no,no,yes,no,high
4739,no,no,no,no,low
239,yes,no,yes,no,high
1591,yes,no,no,no,high
238,no,no,no,no,high
3158,no,no,yes,no,low
4451,no,no,yes,no,high
472,no,no,yes,no,low
3520,no,no,yes,no,high
3258,no,no,yes,no,high
4228,no,no,no,no,low
1971,yes,yes,yes,no,low
2656,no,no,no,no,high
1200,no,no,no,yes,high
4719,no,no,no,yes,low
219,no,no,no,no,low
4675,no,no,yes,no,low
3543,no,no,no,no,high
2664,no,no,no,no,low
3838,no,no,yes,yes,low
2541,no,no,yes,yes,low
2303,no,no,yes,yes,low
2190,yes,yes,yes,no,low
4453,yes,yes,yes,no,low
3785,yes,no,yes,no,high
1317,yes,no,yes,no,low
3079,no,no,yes,no,low
4600,yes,no,yes,no,low
3882,yes,no,yes,no,low
1661,no,no,yes,yes,low
1559,no,no,yes,yes,low
2145,no,no,yes,yes,low
601,yes,yes,yes,no,high
97,yes,no,yes,no,high
3910,no,no,yes,no,low
4479,yes,yes,yes,no,high
3608,no,no,yes,no,high
1200,yes,no,yes,no,high
4654,yes,yes,yes,no,low
1637,yes,no,no,no,low
1801,no,no,yes,no,low
4335,no,no,yes,no,high
3927,no,no,yes,yes,high
2743,no,no,yes,yes,low
4212,no,no,no,yes,low
395,no,no,yes,yes,low
1560,no,no,yes,yes,low
409,no,no,yes,yes,high
345,no,no,no,yes,low
1254,no,no,yes,yes,high
1278,yes,yes,yes,yes,high
1616,no,no,yes,yes,high
1848,no,no,yes,no,low
3471,no,no,yes,no,low
3381,yes,no,yes,no,high
3942,yes,yes,yes,no,high
2015,no,no,no,no,low
2409,no,no,no,no,low
30,yes,no,yes,no,low
2705,no,no,yes,no,low
2400,no,no,yes,no,high
3199,no,no,yes,no,low
63,yes,no,yes,no,low
942,yes,no,yes,no,low
2988,yes,no,yes,no,high
3935,yes,no,yes,no,low
582,yes,no,yes,no,high
907,no,no,no,no,low
776,yes,yes,yes,no,high
2283,no,no,yes,no,low
2687,no,no,yes,no,high
2370,no,no,yes,no,low
3517,no,no,yes,no,low
481,no,no,yes,no,low
3687,no,no,yes,no,low
950,no,no,yes,no,low
1988,no,no,yes,no,low
1768,no,no,yes,yes,low
3898,no,no,yes,yes,high
1766,no,no,yes,yes,low
1859,no,no,yes,yes,low
4207,no,no,no,yes,low
2090,no,yes,yes,yes,high
2268,no,no,no,yes,low
2667,no,no,no,yes,high
847,no,no,yes,no,low
4041,yes,yes,yes,no,high
4601,no,no,no,no,low
3758,no,no,yes,no,low
2435,no,no,yes,no,low
1350,no,no,yes,no,low
3432,no,no,yes,no,high
4493,no,no,yes,no,high
1498,no,no,yes,no,low
626,no,no,yes,no,low
728,no,no,yes,no,low
3479,no,no,yes,yes,low
2002,no,no,yes,yes,low
3594,no,no,yes,no,high
2663,yes,yes,yes,no,low
4229,no,no,yes,no,low
3090,no,no,yes,no,low
1046,no,no,yes,no,low
1604,no,no,yes,no,low
2501,no,no,yes,no,low
1494,no,no,yes,no,low
2866,no,no,yes,no,low
589,yes,yes,yes,no,low
1052,yes,yes,no,no,high
1694,no,no,yes,no,low
1175,no,no,no,no,low
4504,no,no,yes,no,low
532,no,no,yes,no,high
3859,no,no,yes,no,high
4013,no,no,yes,no,low
3134,no,no,no,no,low
1403,no,no,yes,no,low
583,no,no,yes,no,low
1617,no,no,yes,no,low
3040,no,yes,yes,no,low
3644,yes,no,yes,no,high
3004,no,no,yes,no,low
2405,yes,no,yes,no,low
4626,no,no,yes,no,low
2815,no,no,yes,no,low
1638,no,no,no,no,low
1868,no,no,yes,no,low
3336,no,no,yes,no,low
761,no,no,no,no,low
2360,no,no,yes,no,low
421,no,no,yes,no,high
3486,no,no,no,no,low
920,no,no,yes,no,low
714,yes,no,yes,no,low
3891,no,no,yes,no,low
1690,no,no,yes,no,high
3071,no,no,yes,no,low
1399,no,no,yes,no,low
342,no,no,yes,no,low
4561,yes,no,yes,no,high
3456,no,no,yes,no,high
1716,yes,no,yes,no,high
884,no,no,yes,no,low
3921,no,no,yes,no,low
429,no,no,no,no,low
975,no,no,no,no,low
4579,no,no,yes,no,low
1201,no,no,yes,no,low
3074,no,no,yes,no,low
3724,no,no,yes,no,low
4082,yes,no,yes,no,low
1940,no,no,yes,no,high
2801,no,no,yes,no,high
3757,no,no,yes,no,high
3167,no,no,yes,no,high
2508,no,no,yes,no,low
4122,no,no,yes,no,low
1971,no,no,yes,no,low
449,no,no,yes,no,high
4337,no,no,yes,no,low
4211,no,no,yes,no,low
1383,no,no,yes,no,low
752,no,no,yes,no,low
1716,no,no,yes,no,low
722,no,no,yes,no,low
2048,yes,yes,yes,no,high
709,yes,yes,yes,no,low
975,no,no,yes,no,high
1691,no,no,yes,no,low
2802,no,yes,yes,no,high
3793,no,no,yes,no,high
890,no,no,yes,no,high
3671,no,no,yes,no,low
455,no,no,yes,no,high
1866,yes,yes,yes,no,high
3416,no,no,yes,no,low
3876,no,no,yes,no,low
3027,no,no,yes,no,low
3594,no,no,yes,no,low
4488,no,no,yes,no,low
1640,no,no,yes,no,high
4332,no,no,yes,no,low
2340,no,no,yes,no,low
866,no,no,yes,no,low
2957,yes,yes,yes,no,high
1243,no,no,yes,no,low
1495,no,no,yes,no,low
4554,no,no,yes,no,high
3967,no,no,yes,no,low
3218,no,no,no,no,low
489,no,no,yes,no,low
4290,no,no,yes,yes,low
3406,no,no,no,yes,low
3065,no,no,no,yes,low
456,no,no,yes,yes,low
423,no,yes,yes,yes,low
756,yes,yes,no,no,low
1190,no,no,yes,no,high
3281,yes,yes,yes,no,high
1790,no,no,yes,yes,low
2989,no,no,yes,yes,low
4506,yes,no,yes,yes,high
2249,no,no,yes,yes,low
2246,no,no,yes,yes,low
4154,no,no,yes,yes,low
930,no,no,yes,yes,high
1960,no,no,yes,yes,low
257,no,no,yes,yes,low
2892,yes,no,yes,yes,low
3812,no,no,no,yes,low
3232,no,no,yes,no,low
1969,no,no,yes,no,low
4167,no,no,yes,no,low
3033,no,yes,yes,no,high
681,no,no,yes,no,low
2464,no,no,yes,no,low
1722,no,no,yes,no,low
3199,no,no,yes,no,low
1828,no,no,no,no,low
896,no,no,no,no,low
503,no,no,yes,no,low
4528,no,no,yes,no,high
490,yes,yes,yes,no,high
2206,no,no,yes,no,low
438,no,no,yes,no,low
1614,no,no,yes,no,low
3592,no,no,no,no,high
3993,yes,no,yes,no,high
3042,no,yes,yes,no,low
679,no,no,yes,no,high
3283,no,no,yes,no,low
656,no,no,yes,no,low
3782,no,no,no,no,low
4535,no,no,no,no,low
1436,no,no,yes,no,low
1356,no,no,yes,no,high
3678,no,no,yes,no,low
103,no,no,yes,no,low
2094,no,no,yes,no,high
971,no,no,yes,yes,low
241,no,no,yes,yes,low
2179,no,no,yes,yes,low
4576,no,no,yes,no,low
1031,no,no,yes,no,low
4043,no,no,yes,no,low
2776,no,no,yes,no,low
1030,no,no,no,no,low
905,no,no,yes,no,low
3273,yes,no,no,no,high
1357,no,no,no,no,low
1356,no,no,yes,no,low
3255,yes,yes,yes,no,low
4715,no,no,no,no,low
727,no,no,yes,no,low
390,yes,no,yes,no,low
4423,no,no,no,no,low
751,no,no,yes,no,high
3123,yes,yes,yes,no,high
2963,no,no,yes,no,low
1668,yes,yes,yes,no,low
154,no,no,yes,no,low
744,no,no,yes,yes,low
2142,no,yes,yes,yes,low
3380,no,yes,no,no,high
1988,yes,no,yes,no,high
4339,no,no,no,no,low
3437,no,no,no,no,low
3426,yes,yes,yes,no,low
1054,no,no,yes,no,high
3304,no,no,yes,no,high
2094,yes,no,yes,no,high
4,no,no,yes,no,low
3237,no,no,yes,no,low
2969,yes,no,yes,no,low
613,no,no,yes,no,low
4501,no,no,no,no,low
2771,yes,no,yes,no,high
1047,no,no,yes,no,low
2605,no,no,no,no,low
4669,no,yes,yes,no,low
1792,no,no,yes,no,low
2309,no,no,no,no,low
1079,no,no,yes,no,low
4503,no,no,yes,no,low
4466,yes,yes,yes,no,high
4444,no,no,yes,no,low
333,yes,no,yes,no,high
1487,yes,no,yes,no,high
429,no,no,yes,no,high
1055,yes,yes,yes,no,high
4498,yes,no,yes,no,high
4414,yes,no,yes,no,low
4715,yes,yes,yes,no,low
3953,no,no,yes,no,low
4181,no,yes,yes,no,high
3416,yes,yes,yes,no,high
1981,no,no,yes,no,high
4709,no,no,yes,no,low
1750,no,no,yes,no,high
2871,no,no,yes,no,high
40,no,no,yes,no,low
1928,yes,yes,yes,no,high
2404,yes,yes,yes,no,high
2217,yes,yes,yes,no,high
4515,no,no,yes,no,low
202,no,no,yes,no,low
3574,yes,no,no,no,high
3083,yes,no,yes,no,low
4514,no,no,no,no,low
2221,no,no,yes,no,low
2749,no,no,yes,no,low
3660,no,no,yes,no,low
4000,no,no,no,no,low
2690,no,yes,yes,no,high
3828,no,no,yes,no,low
1003,no,no,yes,no,low
795,no,no,yes,no,low
3072,no,no,yes,no,high
609,yes,yes,yes,no,high
3092,no,no,yes,no,low
3100,yes,yes,no,no,high
292,no,no,no,no,low
690,no,no,no,no,high
2401,no,no,yes,no,low
4252,yes,no,yes,no,high
2099,yes,no,yes,no,high
1457,no,no,yes,no,high
4070,yes,no,yes,no,low
2172,no,no,yes,no,low
2875,no,no,yes,no,low
1234,no,no,yes,no,low
3889,no,no,no,no,low
1224,no,no,no,no,low
4450,no,no,yes,no,low
2264,no,no,yes,no,low
3913,no,no,yes,no,low
1896,no,no,yes,no,low
4082,no,no,yes,no,low
2383,no,no,yes,no,low
2144,no,no,no,no,low
2344,no,no,yes,no,low
2661,yes,no,yes,no,low
3695,no,no,no,no,low
3844,no,no,yes,no,low
744,no,no,yes,no,low
3450,no,no,no,no,low
4000,no,no,no,no,low
1934,no,no,yes,no,low
2765,no,no,yes,no,low
2225,no,no,yes,no,low
2797,no,no,no,no,low
3111,no,no,no,no,high
119,no,yes,no,no,low
4455,no,no,yes,no,low
2095,no,no,yes,no,low
4235,no,yes,yes,no,low
2534,no,no,yes,no,low
2170,no,no,yes,no,low
2441,no,no,no,no,low
3969,no,no,yes,no,low
2733,no,no,yes,no,low
268,no,no,no,no,low
1323,no,no,yes,no,low
4304,no,no,yes,no,low
4560,no,no,yes,no,low
2271,no,no,yes,no,low
3801,no,no,yes,no,high
3493,no,no,yes,no,high
487,no,no,no,no,low
2854,no,no,yes,no,high
1851,no,no,no,no,low
2306,no,no,yes,no,low
3591,no,no,yes,no,low
706,no,no,yes,no,high
1555,no,no,yes,no,high
1466,no,no,yes,no,high
1382,no,no,yes,no,low
1627,no,no,yes,no,low
2164,no,no,yes,no,low
1871,no,no,yes,no,low
4523,no,no,yes,no,low
4025,no,no,no,no,low
2601,no,no,yes,no,low
2687,yes,yes,yes,no,high
4056,no,no,yes,no,low
4420,no,no,yes,no,low
3659,no,no,yes,no,low
1550,no,yes,yes,no,low
498,no,no,yes,no,low
1385,no,no,yes,no,low
277,no,no,yes,no,low
2676,no,no,yes,no,low
292,no,no,yes,no,low
1984,no,no,yes,no,low
4116,no,no,yes,no,low
4292,no,no,no,no,low
3616,no,no,no,no,high
3102,no,no,yes,no,low
3094,no,no,yes,no,low
3806,no,no,yes,no,low
1743,no,no,yes,no,low
1663,no,no,yes,no,low
1450,no,no,yes,no,low
169,no,no,yes,no,low
4245,no,no,yes,no,low
3095,no,no,no,no,low
191,no,no,no,no,low
1105,no,no,no,no,low
2996,no,no,no,no,low
2249,no,no,no,no,low
1903,yes,no,yes,no,high
1957,no,yes,yes,no,low
1472,no,no,yes,no,low
796,yes,no,yes,no,low
2831,yes,yes,yes,no,high
1337,yes,yes,yes,no,low
2813,no,no,yes,no,low
1179,no,no,no,no,low
4363,no,no,yes,no,low
1128,yes,no,yes,no,low
2038,no,no,no,no,low
1320,no,no,yes,no,low
3831,no,no,yes,no,low
2748,no,no,yes,no,high
2762,yes,no,yes,no,low
3226,no,no,yes,no,low
4708,no,no,yes,no,low
2070,no,no,yes,no,low
4705,no,no,no,no,low
3922,no,no,yes,no,low
1377,no,no,no,no,low
1473,no,no,yes,no,low
3193,no,no,yes,no,low
992,no,no,no,no,low
3696,no,no,yes,no,low
4441,no,no,yes,no,low
2452,no,no,yes,no,low
4150,no,no,no,no,low
2574,no,no,yes,no,low
1740,no,no,yes,no,high
3453,yes,yes,yes,no,low
2996,no,no,yes,no,low
3098,no,no,yes,no,low
3811,no,no,yes,no,low
2878,no,no,no,no,low
3111,no,no,yes,no,high
3874,no,yes,yes,no,low
3448,no,no,yes,no,low
222,yes,yes,yes,no,high
1460,no,no,yes,no,low
4364,no,no,no,no,low
1342,no,no,yes,no,low
2042,no,no,no,no,low
4270,no,no,yes,no,low
3574,no,no,yes,no,high
3504,no,no,yes,no,low
2708,no,no,yes,no,low
612,no,no,yes,no,high
1644,yes,no,yes,no,high
249,no,no,yes,no,low
4541,no,no,yes,no,high
3037,no,no,yes,no,low
3216,no,no,yes,no,low
1093,no,no,yes,no,low
4095,no,no,yes,no,high
4720,no,yes,yes,no,high
38,yes,no,yes,no,low
1119,no,no,yes,no,low
3729,no,no,yes,no,low
4046,no,no,yes,no,low
3326,no,no,yes,no,low
2954,no,no,yes,no,low
1428,no,no,yes,no,low
3736,yes,no,yes,no,high
1135,no,no,yes,no,low
4630,no,no,no,no,low
3018,no,no,yes,no,low
2684,no,no,no,no,low
93,no,no,no,no,low
2272,no,no,no,no,low
966,yes,no,yes,no,low
310,no,no,yes,no,high
3309,no,no,yes,no,high
2951,no,no,yes,no,low
