id,academic_score,student_tuition,education
3552,53.54999924,76824,14
225,48.52000046,115682,12
3181,43.40999985,71228,14
1783,57.5,51766,14
2344,51.31999969,86566,15
530,36.36999893,99411,12
4202,43.79999924,103120,12
1019,45.13999939,103974,12
3234,63.25999832,109643,16
3837,51.31999969,57191,17
1599,44.22999954,110572,12
3731,42.93000031,111589,12
18,47.59999847,99736,12
2837,56.47000122,84531,13
2604,64.69000244,112763,16
2985,62.34999847,79304,16
4168,48.95999908,88353,12
797,40.27999878,115342,12
1375,44.65999985,87418,12
1130,65.45999908,111043,12
910,37.81000137,102296,12
3320,66.94999695,81800,16
2983,55.63999939,99351,16
2633,51.27999878,67818,16
1887,52.77999878,97974,14
3578,64.59999847,67081,16
4226,61.72999954,112932,16
986,50.81000137,82976,16
3743,44.45999908,73187,12
2928,41.58000183,104321,12
1913,40.70000076,66404,12
945,39.63000107,62158,12
2595,54.16999817,109693,12
4046,38.95000076,78069,13
3078,62.84000015,73520,15
2868,64.48000336,56812,16
80,47.09000015,79664,12
3957,50.95000076,62053,12
2653,44.45999908,117569,12
1504,58.88999939,111241,12
1564,54.36000061,96209,16
1065,45.29000092,99311,13
860,54.16999817,64816,15
172,52.74000168,94003,12
469,60.93999863,112284,12
3549,40.18000031,97722,12
4275,58.09000015,118365,12
2446,54.25999832,65077,14
1905,57.13000107,103780,16
490,64.98000336,65591,12
3495,65.34999847,79705,14
2559,55.95999908,110335,12
3343,61.72999954,91102,16
2418,56.34999847,98230,12
4374,51.09999847,53675,13
1039,39.52000046,54878,12
3193,60.75,119360,16
1256,38.18999863,97533,12
988,51.02000046,53139,16
4700,53.65000153,56314,16
232,56.34999847,100235,15
2828,52.95000076,112192,15
3748,63.40999985,92480,13
604,66.16999817,118389,16
4295,45.09999847,78741,13
1417,66.94999695,66615,16
3763,62.90000153,54054,18
3036,52.97999954,64326,13
3007,62.29000092,85424,13
4208,44.31000137,61653,12
2630,64.11000061,88867,16
1216,58.61999893,57927,13
4373,56.91999817,99080,12
2317,52.66999817,69999,12
3585,64.83000183,82121,15
2280,49.90000153,118792,12
4253,62.54999924,86755,17
1243,66.48999786,93597,17
2928,62.13999939,85859,17
4189,49.20000076,76087,13
1391,51.47000122,56723,14
4469,62.15000153,89477,14
4444,43.25999832,64630,12
1990,54.54000092,83022,12
1027,58.72000122,66184,18
4662,57.88000107,64307,13
3684,68.5,116055,15
4674,52.63999939,91553,15
2907,37.54000092,98723,12
4118,63.59000015,66405,16
4562,49.90000153,106280,12
2095,67.18000031,93999,15
205,61.02000046,87018,12
1896,55.88999939,97193,16
1835,59.24000168,60616,15
4737,62.97999954,65006,18
3448,51.08000183,53936,12
645,57.11999893,101932,15
1459,60.40999985,82128,17
1124,44.27999878,93766,12
619,53.04999924,79986,13
3411,48.79999924,112141,12
2075,53.59000015,65642,15
4673,39.20999908,112573,12
2500,65.93000031,67118,14
2475,56.08000183,89380,16
3122,63.13000107,61500,17
4681,58.36999893,83663,16
512,59.90999985,58077,15
4213,51.40000153,91999,14
2888,49.09000015,72424,17
2542,57.49000168,111769,17
815,45.36000061,106901,16
1371,44.68999863,63099,13
1093,45.84000015,58115,12
1334,55.65999985,115114,16
4175,35.79999924,119757,12
3971,44.24000168,69265,14
2817,51.33000183,115630,13
4699,56.45999908,62421,15
4041,48.02999878,76051,12
4642,63.77000046,115636,17
4661,69.90000153,69195,17
1669,66.88999939,98161,16
2850,68.44000244,87746,17
2914,54.84999847,93570,13
1164,62.36000061,50920,16
3869,44.04000092,102506,12
2204,56.93000031,99918,16
2746,43.54000092,82555,13
4269,58.86999893,53858,12
496,54.16999817,86475,16
909,58.72999954,117982,16
849,58.84000015,108049,16
1634,65.79000092,51048,17
978,42.02999878,76379,14
3781,60.43000031,96457,16
2113,49.56999969,51749,15
3615,51.95999908,78540,15
3016,63.56999969,105048,16
3158,51.68999863,60934,15
4121,57.86999893,100169,15
222,49.81000137,76932,14
1225,52.49000168,110354,14
491,43.22000122,58737,12
3023,58.52999878,111571,14
408,43.63000107,104734,12
972,54.79000092,74265,13
3467,37.61000061,64901,13
3904,62.25,70120,16
1417,43.79999924,117747,12
1380,51.95999908,98083,15
794,49.20999908,118326,15
2598,52.34000015,79613,12
757,62.93999863,101813,16
4057,55.83000183,51596,12
1941,62.11999893,98454,18
4075,55.54000092,77336,12
3723,65.12000275,71553,15
671,57.84999847,75719,15
1097,45.54000092,105446,12
4651,59.68000031,111502,16
1653,58.31999969,65223,12
773,56.41999817,119586,16
3177,62.20000076,76665,16
2830,57.06999969,83252,15
941,52.86000061,115492,15
2492,66.86000061,54300,17
1860,44.59999847,89317,12
336,56.93000031,96509,15
451,54.11999893,97802,12
3739,48.75,106368,12
1470,58.15999985,53276,16
3940,40.90000153,95859,12
4199,60.95999908,52045,17
3755,65.70999908,64327,15
1593,53.72999954,109561,16
3220,57.52999878,104326,16
1367,63.11999893,99502,16
3917,51.16999817,112428,12
2692,61.45000076,98452,13
2066,58.93000031,89165,15
846,55.97999954,55426,12
3076,44.77999878,64991,12
2451,49.25,57086,12
854,56.29999924,104855,12
4436,65.68000031,98308,16
584,42.68999863,104796,16
1011,63.81999969,59259,16
1451,55.41999817,98136,12
4476,48.70999908,79580,12
3319,62.54000092,88028,16
729,62.97000122,50338,16
3599,63.20999908,70324,16
1438,38.20000076,102599,12
225,54.99000168,77403,15
460,62.68000031,117544,16
571,50.66999817,67208,14
827,53.36000061,106850,13
4134,58.91999817,93627,17
3057,55.75,60324,12
3021,52.74000168,116587,12
4528,56.02000046,52735,16
1928,58.58000183,53807,16
1917,48.54999924,67325,14
4419,52.68000031,97947,14
3067,57.90000153,73817,14
279,55.97000122,83393,16
1320,58.86999893,75293,12
4038,54.09999847,77920,12
1760,40.22999954,117161,12
2222,50.04000092,65991,12
445,58.25,81372,15
4117,61.86999893,78957,16
4619,67.62000275,78339,13
2711,65.13999939,52793,16
1607,58.40999985,83501,15
2364,66.83000183,97187,16
285,53.95999908,55762,16
1414,52.77999878,50456,16
1260,52.65000153,84112,12
2124,60.08000183,78611,15
2757,55.59000015,89317,12
1084,53.02999878,83071,16
4650,40.77999878,79922,12
2714,48.09000015,50658,12
1664,41.72999954,100791,12
4090,55.66999817,110314,15
2109,55.22999954,115510,12
1394,62.36999893,98697,15
1970,60.95999908,78205,16
730,61.25999832,50065,16
2285,60.91999817,110331,16
3816,46.13999939,54371,12
1369,50.27999878,83098,15
2926,39.86000061,69586,12
77,59.11000061,98075,16
1223,43.41999817,114555,15
2097,49.06999969,108792,17
2999,36.25,54927,12
3477,48.38999939,103648,16
676,49.02000046,116335,16
1432,38.09000015,58970,12
2467,57.11999893,63434,16
1440,62.43999863,96640,16
1071,46.00999832,84809,12
1061,57.54999924,79282,15
2829,49.13000107,109155,12
434,50.72999954,100937,12
3597,53.20999908,96418,15
2748,57.22000122,110331,16
3299,47.18999863,75513,13
141,36.36999893,78056,12
587,48.56000137,51265,12
625,49.43999863,88187,16
2708,49.22000122,73951,13
4459,59.66999817,106968,12
3546,43.75999832,103278,12
1536,54.24000168,88579,16
898,48.52999878,61176,17
666,50.13999939,85470,12
4240,52.45999908,117061,12
4736,44.75999832,103061,12
806,46.24000168,101328,12
2811,58.77999878,67733,16
4220,62.49000168,75139,16
1460,43.65000153,89857,12
2522,56.02000046,72732,15
1140,59.93000031,79307,17
2211,60.81000137,108660,16
1209,56.27999878,78605,12
2211,42.79999924,91940,14
1797,65.05000305,74817,12
654,59.74000168,108776,16
1975,46.77999878,86989,12
315,54.86999893,100469,16
578,49.11000061,114625,12
4636,51.90000153,74780,12
4017,59.90000153,78150,15
3916,58.22999954,62101,16
234,53.47000122,75021,16
3373,58.06000137,108519,15
432,62.86000061,100899,16
1146,52.93000031,60652,14
598,64.26999664,71983,18
3720,51.59999847,62831,12
2411,59.95999908,110062,14
145,60.43999863,109950,12
3998,44.47000122,61140,15
4542,51,74649,13
4066,59.56000137,71751,16
1596,64.88999939,99216,13
1550,58.24000168,66479,15
64,44.13000107,80947,17
722,62.20000076,108074,15
3662,52.31000137,88211,12
4020,49.06000137,57287,16
1697,60.95000076,57978,15
1733,55.97999954,77608,12
1488,67.40000153,67348,17
3673,59.34000015,87088,12
3241,49.20999908,51213,14
2212,58.20000076,82080,16
4085,50.83000183,88533,13
2365,42.15999985,69673,13
1554,49.97999954,84981,12
2860,61.47000122,95866,14
3636,54.63000107,52686,13
1372,32.52000046,95971,15
3176,42.84000015,67164,12
4714,51.08000183,63411,16
3388,48.20000076,59849,14
1639,42.18999863,51220,12
3408,48.88999939,95303,12
1105,42.81999969,60250,12
782,65.66999817,87338,15
2538,61.86999893,84887,16
86,61.27999878,96132,17
1219,62.18000031,116118,17
4574,60.18000031,50730,16
2093,36.59000015,85938,12
702,37.66999817,90983,12
963,61.75,73639,16
4022,49.31999969,111427,17
1790,53.33000183,93366,17
1842,48.70000076,104545,13
3398,66.23000336,73270,17
1318,45.31999969,63183,12
4589,58.16999817,106432,12
2644,56.22000122,84217,13
357,65.19000244,94486,16
2342,42.02000046,98387,12
3534,44.86000061,70779,12
3077,57.27999878,61755,13
3019,35.43999863,74831,12
3301,64.51000214,62859,15
4573,42,85453,14
3107,45.00999832,78021,13
3503,49.95000076,112126,14
4689,51.88000107,55704,12
2379,45.75999832,111979,17
4170,41.93999863,65481,15
618,64.52999878,61087,15
497,66.51999664,78140,16
1273,53.08000183,119898,12
557,54.75999832,51599,16
2074,54.52000046,93725,16
4458,47.02000046,52330,13
226,62.02999878,73624,15
1493,62.43999863,79450,17
4540,57.50999832,103182,14
3025,56.16999817,58050,13
162,44.63000107,53139,13
3364,47.90000153,79784,12
1341,56.72000122,53157,14
1229,52.33000183,91464,12
3116,49.75999832,115869,12
4691,62.38000107,51328,16
4110,62.52000046,109779,15
600,53.86000061,86468,15
2100,58.79000092,119101,15
3396,41.54000092,103356,12
3246,58.50999832,119577,14
2560,49.70000076,84923,15
3702,46.86999893,91541,12
531,50.66999817,76528,12
2515,49.24000168,56363,12
4241,54.93999863,97583,16
2217,41.18999863,118959,16
1519,58.81000137,74602,14
1761,44.04000092,80957,12
878,47.95999908,62814,16
3778,47.34999847,62481,16
2020,60.95000076,80969,17
1793,55.97999954,81217,15
2431,69.30000305,75074,18
3802,62.83000183,118889,14
3946,62.54999924,99935,12
4379,58.61000061,65381,15
2289,57.54000092,69710,16
4558,60.66999817,110162,13
440,68.44000244,53392,12
4171,64.59999847,89583,16
1505,68.77999878,54969,17
1538,48.84999847,74742,12
4324,64.08000183,78910,14
19,62.91999817,50340,16
459,65.05000305,56039,16
2544,55.04000092,75264,16
4025,58.02000046,55295,13
352,54.84000015,65048,16
3768,38.11000061,109628,12
3321,36.38000107,77046,12
829,37.34000015,106491,12
3308,48.31999969,107829,16
3189,35.65999985,90922,13
1606,39.88000107,88342,12
2251,61.83000183,94091,14
1882,53.47000122,64666,16
727,61.43999863,87835,18
4736,63.75,57246,12
3931,56.13000107,52868,15
3109,67.11000061,90499,16
2477,57.20000076,50127,16
916,56.52000046,111231,16
3915,54.72000122,102571,12
526,57.68000031,81842,15
3158,48.02000046,93446,15
2004,55.22999954,53568,16
1154,45.04000092,112706,14
4492,61.72999954,71660,15
2780,50.41999817,50396,15
176,59.06999969,86342,16
4571,47.45999908,75252,13
4191,56.34000015,118502,13
2946,50.97999954,112557,16
2491,40.16999817,52409,12
2731,46.24000168,73119,12
3866,47.06999969,69377,12
655,58.90999985,118825,17
3096,58.58000183,68498,14
694,41.75,79706,12
1524,44.04999924,55578,13
4537,35.81999969,86647,16
2494,46.79999924,118656,15
4162,48.22000122,107242,12
3536,54.15999985,52463,16
4426,41.65999985,53514,12
1325,56.97999954,81460,12
3278,42.33000183,88438,12
2356,55.22000122,118322,16
4331,67.31999969,66677,16
2765,49.79999924,75823,14
1415,37.25,107704,13
2552,48.56000137,53627,12
3622,58.13000107,99219,16
2729,36.45999908,88776,12
20,38.86999893,84425,12
3746,43.86000061,90474,12
1367,39.36000061,100578,12
672,38.56999969,114416,12
1404,48.72999954,51862,13
1409,62.70000076,92546,17
2934,54.65999985,69172,12
3282,63.63000107,66132,12
1234,34.93000031,70878,12
2735,59,68818,12
574,61.40000153,84102,16
3399,51.25,84413,12
5,45.27000046,58122,12
2464,53.27999878,119153,12
4338,39.93000031,91839,12
2013,46.22999954,109820,16
2559,63.38999939,53328,16
2714,48.36000061,107139,14
4245,62.50999832,102517,17
3463,54.09000015,75271,12
548,58.49000168,70182,13
3367,62.43999863,64894,16
2383,62,88766,17
3284,47.50999832,113491,12
1949,52.31999969,79614,13
4183,43.09999847,106097,14
2780,62.56999969,58057,15
1220,63.16999817,74336,16
23,66.30999756,103539,12
905,50.83000183,107242,12
1892,55.13999939,77279,16
3960,35.70000076,102845,12
1180,54.34000015,90861,14
280,53.22999954,63072,18
641,42.97999954,55650,13
3789,61.86000061,82087,16
4120,59.29000092,116084,12
189,54.84999847,80228,13
2200,44.02999878,119205,12
2166,42.31999969,95383,12
3779,37,54037,12
3378,48,113464,17
876,44.95999908,96828,12
2143,55.74000168,50077,17
673,43.65999985,52141,14
1564,38.84999847,61281,13
2220,65.51000214,84351,16
3850,54.95999908,119904,17
3559,62.31000137,94173,16
2297,47.47000122,92497,12
765,35.56000137,99319,12
333,64.93000031,75003,17
2407,69.31999969,66766,16
449,50.88999939,52129,12
1257,57.15999985,114947,14
4609,55.04000092,67854,12
1771,61.29000092,81825,12
2013,65.01999664,114049,12
118,49.02999878,87269,12
1439,52.79000092,109771,12
894,41.72000122,114648,14
3298,56.58000183,119057,12
99,58.65000153,104755,13
1219,38.11999893,116222,12
2004,46.41999817,108882,14
384,50.81000137,110520,14
1334,49.18999863,64542,15
2890,38.56999969,79980,12
1836,57.43000031,65454,12
2466,61.29000092,65265,15
3382,65.79000092,94062,14
3177,59.47000122,99085,15
4265,42.63999939,83280,12
4019,41.47999954,75268,12
383,40.97999954,81089,12
2904,36.93999863,51719,12
175,57.79999924,54956,12
856,56.18999863,105645,14
1669,60.50999832,69274,15
1576,34.15999985,72491,12
1879,43.36999893,50733,13
1780,40.15000153,106642,12
2306,35.72999954,109812,12
1966,38.72999954,114056,12
1179,47,98753,12
3063,37.40999985,111692,12
2981,64.47000122,53308,13
670,62.25,64798,14
264,48.77000046,69057,12
432,51.90000153,70119,12
1174,64.70999908,68910,15
3463,46.45000076,77139,14
494,57.18000031,112955,12
4646,43.70999908,51882,12
4541,58.24000168,60499,12
735,45.61999893,102134,12
1981,61.15000153,88160,13
628,46.58000183,112594,12
3113,50.41999817,62161,12
4520,36.09000015,84308,12
3244,43.27999878,103645,12
2877,35.09999847,70245,12
516,43.58000183,67242,14
2050,64.16999817,76120,15
3179,41.13999939,96307,12
1158,41.11000061,60312,12
1531,53.25,87093,12
2451,49.27999878,104097,13
2286,38.95999908,94463,12
1363,62.65999985,63430,16
4216,60.16999817,97065,15
1519,40.97000122,88515,12
340,48.08000183,110733,12
2085,52.61000061,89510,16
4478,56.40000153,88510,12
792,58.02999878,65539,18
2809,51.09999847,79141,13
1085,65.79000092,104025,12
2812,34.40000153,116350,13
2022,61.22000122,104907,17
2683,54.31000137,98193,16
2254,61.81000137,106239,16
1963,64.87000275,62345,17
28,45.84999847,107678,12
1530,50.34000015,93337,16
6,38.22000122,65416,13
735,54.93999863,84419,12
3615,42.13000107,77128,12
4104,61.68999863,68524,16
2095,64.52999878,119443,12
3943,47.31000137,72277,12
2006,40.22999954,81661,16
571,58.91999817,97585,12
899,52.93999863,110949,12
1112,52.59000015,99192,12
3809,48.86000061,101526,15
2423,66.66999817,111833,14
105,45.97000122,58775,12
1285,59.00999832,59098,13
1309,41.02000046,51347,12
4557,58.77000046,80718,15
4537,48.54999924,87667,12
3212,40.00999832,107114,12
2097,59.15000153,57732,12
3241,41.54000092,97357,12
1015,54.36999893,96207,16
1721,60.90000153,110272,12
4416,35.72999954,55792,12
2819,43.45000076,110590,15
4477,65.41000366,82410,16
304,51.56000137,63591,15
402,56.24000168,80105,15
3752,60.61999893,99621,13
2728,57.90000153,97924,12
220,50.52999878,54658,13
164,54.63999939,74537,16
1342,52.79999924,76425,14
849,44.74000168,75528,17
1422,60,117618,17
1753,36.79000092,81455,12
451,41.59000015,114955,12
1341,46.52999878,70562,12
259,44.15000153,64856,12
546,38.79000092,104078,12
4469,58.95000076,74645,12
4386,64.33000183,75009,15
2185,65.33999634,61823,15
1213,48.95999908,66240,13
4228,59.63000107,98954,12
2668,40.49000168,53285,12
4637,57.97999954,117132,12
1892,44.11000061,61433,12
3887,47.43999863,97502,12
3063,54.93999863,101265,12
1620,45.34000015,106649,12
2171,36.18999863,117855,12
162,55.84999847,112996,13
1386,43.15999985,94734,12
4651,34.20000076,96383,12
2059,39.15000153,88199,12
473,47.43999863,81351,15
2396,56.52000046,110376,15
2004,45.93999863,84846,14
2262,55.47999954,82163,17
3752,41.68000031,105359,17
3890,49.50999832,61375,12
2387,57.56999969,111120,12
1869,59.54999924,95980,17
446,49.47000122,58908,12
397,60.24000168,101050,16
979,62.63000107,90042,15
3363,51.63000107,106944,15
1604,36.02000046,60064,13
1481,67.51999664,91267,15
2538,54.11999893,110899,12
832,55.52999878,71616,16
4282,54.91999817,107316,15
1124,48.54000092,108077,12
640,58.34000015,110543,17
1761,49.88999939,64368,12
1769,48.83000183,74011,12
778,42.65000153,74768,12
1380,60.49000168,86193,14
3084,46.65999985,88089,12
3283,55.47000122,81363,13
1283,38.43000031,82546,12
2564,62.86999893,87126,15
1108,40.77000046,101178,12
3090,64.66999817,80489,15
1390,51.56000137,61214,17
1731,61.75999832,118138,16
3270,47.38999939,104506,15
4650,49.59000015,118694,12
4058,43.79999924,96610,12
1627,41.81000137,90994,15
1876,55.90000153,98706,13
2108,43,74661,12
1665,45.84999847,78082,12
3346,47.09000015,53136,13
3857,50.68000031,76068,12
2778,61.22999954,51333,12
1743,43.86999893,68058,12
2099,54.40000153,55632,12
2830,43.22999954,112392,12
909,36.15999985,104099,12
775,59.63999939,106667,13
4669,37.97999954,64767,12
2813,34.63999939,72417,12
571,62.22999954,75378,12
2650,52.59000015,107482,12
115,34.52999878,53768,12
3767,42.43000031,97931,15
4148,61.77000046,74953,12
4460,48.45999908,65798,14
932,61.06000137,92965,14
746,43.15999985,50255,13
859,47.33000183,78175,12
3628,47.54999924,88290,14
1053,55.93000031,98130,12
24,39.31999969,118716,14
4157,59.47999954,71859,12
350,43.54000092,92613,15
2685,54.33000183,87927,14
2000,51.25,63640,14
2991,37.90999985,79835,12
219,46.77000046,67373,12
4072,38.56999969,72245,12
3019,64.01000214,76715,15
1627,40.47999954,87141,14
2590,58.18999863,96916,14
511,52.97999954,63718,15
4294,48.81999969,102862,13
2907,52.56000137,63414,16
4508,55.11000061,51666,15
1001,42.56999969,64968,12
3869,51.49000168,56436,12
1527,54.38000107,102421,12
1350,43.70000076,103141,13
1893,63.95000076,104025,16
1159,53.34000015,100278,15
920,51.36000061,75591,14
3962,53.66999817,73392,12
37,36.25999832,69950,12
2044,46.93999863,79122,15
943,48.61000061,83207,12
4650,56.38999939,111447,14
1999,49.81000137,60022,12
3619,62.38999939,99032,16
3693,60.40000153,97189,13
4243,61.72000122,84264,13
597,53.72000122,58767,15
4215,49.38000107,111829,12
913,57.09999847,94556,16
937,50.06000137,116968,14
2531,59.75999832,97819,16
3469,53.15999985,108034,13
3313,38.90000153,110367,15
1661,52.31999969,106410,16
3230,52.61000061,53921,14
3922,63.75999832,73537,12
4451,64.81999969,63379,17
3802,48.75,103736,12
4366,57.02000046,50432,16
706,53.02000046,94109,12
2865,55.93999863,106827,13
2168,58.59000015,115308,16
2268,66.37000275,55410,14
1227,52.81000137,87943,14
2014,46.84999847,60502,13
156,59.81000137,57312,16
453,45.25,96767,17
878,32.09999847,89714,12
2704,52.52999878,78860,12
1267,56.81999969,57482,15
95,58.22000122,112096,13
4254,55.77999878,60067,12
3774,47.34999847,103041,17
3537,59.99000168,57632,16
1338,55.84999847,57541,17
3027,62.43000031,62115,12
244,58.72999954,52582,15
1481,62.72000122,73265,12
2562,55.81000137,76568,12
3073,54.06999969,51355,16
3833,40.25,105197,12
3077,59.02000046,111106,15
3675,41.74000168,75646,12
84,45.86000061,117433,13
385,67.75,100180,16
3050,49.72999954,102361,12
3630,44.45999908,69721,12
2369,45.20000076,75390,12
4454,41.52000046,63045,12
2657,64.75,98484,16
2796,41.95999908,75867,12
555,44.24000168,90441,13
1731,54.02999878,75516,12
4245,44.77999878,97524,12
1689,43.22999954,108752,12
1471,51.56999969,53881,12
2052,40.81999969,86414,13
54,33.95000076,92525,12
4734,37.25,106457,12
934,43.68000031,108535,12
738,57.36999893,94922,13
1456,50.15000153,59087,12
1149,51.65999985,99789,12
1059,50.16999817,60077,13
3751,49.52000046,118427,14
3449,68.95999908,56972,15
3703,61.38000107,112509,12
629,56.34000015,95745,15
275,38.75,72519,12
4111,61.31999969,100653,16
1459,50.66999817,83876,12
3325,44.13999939,84244,12
2346,46.09000015,110804,12
3789,59.56000137,55877,13
1269,45.52000046,88586,13
675,54.02999878,50223,16
758,50.31000137,66899,13
96,35.77000046,73675,13
616,55.11999893,82493,12
1978,44.56999969,113367,12
4519,58.04999924,110508,12
2781,38.81000137,89786,12
2432,34.24000168,105583,12
4562,38.56000137,76066,12
618,42.58000183,63498,12
2832,40.18000031,116253,12
3459,64.93000031,96362,16
2317,47.31999969,74710,12
4613,55.20000076,80817,12
3144,40.90000153,92813,12
847,65.51000214,74258,15
2748,59.86000061,77906,12
856,38.15999985,74517,15
4311,41.81000137,78872,14
2584,44.70999908,58711,16
3789,45.38000107,50403,15
1187,32.13999939,67409,12
1647,37.88999939,82127,12
4535,59.40000153,105427,15
4187,55.38000107,94145,13
156,41.88999939,55695,12
799,36.09999847,67389,12
364,67.19000244,51747,16
1838,40.34999847,67682,14
3144,53.77000046,77547,13
2952,62.97000122,118873,12
2932,57.25999832,104247,16
4046,47.56999969,92245,12
1386,48.11999893,66802,13
3167,57.40000153,91021,18
4361,55.66999817,62508,15
706,53.75999832,116941,14
1820,46.56999969,107953,12
2365,58.43000031,107052,16
87,45.04000092,53579,12
702,54.75,96960,16
4097,47.90000153,70165,12
1896,45.56000137,110616,12
657,51.90000153,111835,12
1576,36.25,87254,12
362,47.52000046,74451,13
526,43.81000137,104380,14
3006,40.13000107,78870,12
931,36.54999924,69922,12
1488,51.81999969,109072,12
124,55.75,119990,12
860,45.5,67664,12
2745,43.66999817,96496,13
3325,61.31000137,113970,12
537,38.52999878,86654,15
2286,55.47999954,104531,12
817,44.08000183,96468,14
1469,46.99000168,85396,13
1852,55.36999893,50576,16
3836,58.43000031,81350,16
2270,49.68999863,100727,12
3326,47.90000153,66984,14
770,35.68000031,84652,12
2266,63.75999832,119253,15
2147,49.75,53112,13
2611,66.19000244,53257,12
4692,45.59000015,77200,12
3464,41.77000046,83229,12
4241,46.16999817,64976,12
2737,38.97999954,115999,12
2582,40.63000107,90075,12
2775,54.68999863,55250,12
2020,56.13999939,116563,16
3862,50.08000183,73082,12
385,51.31000137,100204,12
4293,39.33000183,81136,12
2548,56.5,105087,16
632,41.16999817,93126,14
1170,47.36999893,54570,12
1568,58.47999954,53861,15
3629,52.63999939,62672,16
134,33.88000107,87874,13
1673,51.63000107,66742,12
3448,39.77999878,83091,13
2505,43.27999878,97757,16
4300,36.84999847,97391,12
100,48.11999893,113358,17
2432,45.45999908,87488,16
2521,38.65000153,81238,13
2368,49.75,91044,15
1591,56.38999939,81492,16
2539,41.47000122,92858,12
4464,56.56000137,93439,16
2639,45.15999985,109802,15
1164,35.11000061,62466,12
941,40.25999832,95324,12
3380,36.66999817,110032,12
3370,52.66999817,102641,13
4618,58.04999924,114561,13
804,56.90000153,84583,13
2663,44.43000031,84229,14
1028,39.68000031,91808,12
2992,58.63000107,76131,16
1524,40.45999908,57843,12
342,53.02999878,98969,14
1479,55.65999985,118296,12
208,51.50999832,111865,12
2458,56.45999908,90245,14
1636,37.95999908,76411,12
493,57.29000092,110212,16
354,44.95999908,118351,14
2303,49.56999969,82503,12
1933,64.22000122,62808,16
1008,50.90999985,72748,14
1555,47.47000122,70748,16
1313,67.05999756,61097,15
1546,43.11999893,104798,12
4185,55.36000061,119123,14
986,48.15000153,70136,17
3732,39.88999939,100616,13
2847,39.25,58295,12
4344,47,87260,12
3515,40.20999908,81125,12
1694,44.18999863,91845,16
4511,47.81000137,53509,14
2685,54.40999985,97050,16
2133,43.38999939,91484,12
3538,38.88999939,52864,13
234,43.25999832,99121,12
2331,36.15000153,97772,12
3887,42.20000076,69905,12
3202,48.11999893,73735,12
416,38.16999817,75354,13
4588,41.43999863,64709,14
2856,41.59999847,54579,13
3233,30.78000069,58419,12
1729,48.52000046,109624,15
3901,31.12000084,78134,12
1191,35.15000153,53990,12
1223,40.31000137,100307,16
852,53.86999893,109442,16
4624,51.02999878,86628,12
1422,46.72000122,52273,12
503,59.66999817,80103,16
2070,56.15999985,105618,15
180,49.93000031,60239,12
1790,53.5,114600,13
4179,58.59999847,96973,15
1485,51.70999908,94195,14
799,35.34999847,97147,12
4061,44.63999939,83333,14
4609,49.86999893,85583,12
1095,36.34000015,108238,12
1207,51.91999817,80405,16
3992,50.84999847,93216,13
3337,45.50999832,103186,12
733,43,110396,13
2577,35.06999969,108891,12
1515,50.43000031,113514,12
4097,59.72000122,112047,14
4436,43.06000137,84223,12
211,67.12000275,58838,16
3820,43.33000183,76905,12
